Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2006","2006","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2007","2007","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2008","2008","tonnes","1","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2009","2009","tonnes","4","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2010","2010","tonnes","12","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2011","2011","tonnes","16","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2012","2012","tonnes","24","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2013","2013","tonnes","33","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2014","2014","tonnes","78.87","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2015","2015","tonnes","66.64","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2016","2016","tonnes","85.65","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2017","2017","tonnes","109.82","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2018","2018","tonnes","214.58","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2019","2019","tonnes","312.06","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2020","2020","tonnes","381.25","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01311","Avocados","2021","2021","tonnes","317.61","T","Unofficial figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2006","2006","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2007","2007","1000 US$","0","T","Unofficial figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2008","2008","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2009","2009","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2010","2010","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2011","2011","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2012","2012","1000 US$","15","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2013","2013","1000 US$","20","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2014","2014","1000 US$","60","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2015","2015","1000 US$","107","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2016","2016","1000 US$","137","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2017","2017","1000 US$","183","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2018","2018","1000 US$","373","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2019","2019","1000 US$","517","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2020","2020","1000 US$","649","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","01311","Avocados","2021","2021","1000 US$","581","T","Unofficial figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1961","1961","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1962","1962","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1963","1963","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1964","1964","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1965","1965","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1966","1966","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1967","1967","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1968","1968","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1969","1969","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1970","1970","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1971","1971","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1972","1972","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1973","1973","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1974","1974","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1975","1975","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1976","1976","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1977","1977","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1978","1978","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1979","1979","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1980","1980","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1981","1981","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1982","1982","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1983","1983","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1984","1984","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1985","1985","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1986","1986","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1987","1987","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1988","1988","tonnes","596","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1989","1989","tonnes","556","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1990","1990","tonnes","658","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1991","1991","tonnes","723","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1992","1992","tonnes","776","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1993","1993","tonnes","807","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1994","1994","tonnes","921","A","Official figure"
